,0
0,1.86191499233
1,9.78762722015
2,9.13943862915
3,8.5706987381
4,7.12475013733
5,7.97762441635
6,7.60422420502
7,7.43229341507
8,7.02983617783
9,5.82576370239
10,6.05522060394
11,4.76953268051
12,4.70627403259
13,3.5650472641
14,3.5611884594
15,2.77741265297
16,2.34844493866
17,1.76160478592
18,1.40759420395
19,0.958008348942
20,0.68848490715
21,0.392020910978
22,0.13725951314
23,0.0656424164772
24,0.244446575642
25,0.420564055443
26,0.566405534744
27,2.18165397644
28,2.66270828247
29,2.15832924843
30,2.25127315521
31,2.29622864723
32,2.33365082741
33,1.90926063061
34,1.81267690659
35,1.84447538853
36,1.79549264908
37,1.67124247551
38,1.64878427982
39,1.57295238972
40,1.37993323803
41,1.30138063431
42,1.10677337646
43,0.939274907112
44,0.726497232914
45,0.56321811676
46,0.378764152527
47,0.223690286279
48,0.0860868617892
49,0.0404067784548
50,0.156790912151
51,0.299445867538
52,1.55549871922
53,10.7707691193
54,12.9986829758
55,10.5887460709
56,10.5442361832
57,9.42672538757
58,12.1789941788
59,10.5276155472
60,10.3658561707
61,9.26536083221
62,9.44619464874
63,7.58720493317
64,8.23884868622
65,7.29535055161
66,6.73106765747
67,5.86335659027
68,4.93611717224
69,3.95482611656
70,3.0691280365
71,2.02580070496
72,1.64940786362
73,0.812418460846
74,0.389417260885
75,0.16157887876
76,0.63323366642
77,1.09953916073
78,4.17280578613
79,11.4595556259
80,8.9000043869
81,10.6925630569
82,9.38933849335
83,12.7883348465
84,10.8513126373
85,11.0738239288
86,9.85356521606
87,9.55000972748
88,8.83270072937
89,8.43478775024
90,7.37457990646
91,6.71032619476
92,6.0977730751
93,5.22009658813
94,4.72320890427
95,3.57283401489
96,2.73056340218
97,2.44420838356
98,1.45174300671
99,0.911399722099
100,0.310262054205
101,0.162946224213
102,0.574562430382
103,1.05813801289
104,11.2675685883
105,15.073805809
106,13.5260438919
107,11.7313928604
108,11.2463693619
109,12.4623203278
110,12.1098670959
111,11.4573602676
112,10.1724224091
113,9.5177526474
114,8.55086135864
115,7.66095876694
116,6.30009126663
117,5.29744958878
118,4.787566185
119,3.87150597572
120,2.90232086182
121,2.1370344162
122,1.5512149334
123,1.10628986359
124,0.756737709045
125,0.37960845232
126,0.164122864604
127,0.245133981109
128,0.439700484276
129,2.44608926773
130,3.47946381569
131,2.92065048218
132,2.50771975517
133,3.11105060577
134,3.19455170631
135,2.92470526695
136,2.80923986435
137,2.75635528564
138,2.62626194954
139,2.66074061394
140,2.34649562836
141,2.20406293869
142,1.91812932491
143,1.77464103699
144,1.52403068542
145,1.31048345566
146,1.09351289272
147,0.829870223999
148,0.613938748837
149,0.410358428955
150,0.216624766588
151,0.10031555593
152,0.157233148813
153,0.313320994377
