,file_name,samplerate,duration,mean,std,max,min,diff_mean,diff_std
0,Metallica_master_of_puppets.wav,22050,513,"[  0.19211534 -15.57700583  -9.02888182  20.96522438   1.73932733
  -6.65055809  -0.55131321   3.77232038   1.12638372  -1.80947568
  -6.77207437   1.16764085  -1.27669423  -4.95879106  -6.74007566
  -2.50988776  -1.38307352  -1.78493645  -0.74886926   1.14662013
  -1.29503285  -0.27041627   0.21957337  -0.10722379   0.12237193
   1.17232309]","[  1.7261958    9.32386595  10.04670983  11.22584258   6.92214182
   7.13248241   6.53923524   7.22566062   7.9374892    7.73105805
   7.10811295   6.33969034   6.06439811   5.89947175   5.15547635
   5.21034636   4.12040509   3.14997566   2.51612442   1.9927694
   1.63075816   0.79589201   0.32654045   0.17088351   0.60811791
   1.2402205 ]","[  3.32784486  25.67334085  24.96020196  57.4505877   31.31569116
  33.75477545  43.13799247  36.67269701  39.02366753  36.1300515
  31.28834992  36.61012836  29.57350479  29.05144172  20.47554306
  31.23710583  23.38450292  16.39257207  14.02869339  10.10296379
   6.5975053    3.20815005   1.74620299   0.92327718   3.45746909
   7.73413868]","[-18.01236486 -46.42574898 -48.40744328 -20.89407024 -25.25818402
 -37.57156096 -35.01032699 -41.61261221 -44.95006796 -49.60752503
 -48.59178893 -33.95014853 -34.9180702  -29.06097803 -32.51609819
 -34.01493059 -19.20731571 -18.46325066 -14.1681798   -9.65054366
  -8.00783931  -4.94860497  -1.91641875  -1.02836956  -3.59327029
  -6.36202056]","[-15.76912117   6.548124    29.9941062  -19.22589705  -8.38988542
   6.09924488   4.32363358  -2.64593666  -2.93585939  -4.96259869
   7.93971523  -2.44433509  -3.68209683  -1.7812846    4.2301879
   1.12681424  -0.40186292   1.03606719   1.89548939  -2.44165298
   1.02461658   0.48998964  -0.32679716   0.22959572   1.04995116]","[ 10.04013559  17.20104221  17.95230374  13.44666457   8.64471476
   8.21343818   7.04024353   7.81310225   8.82293089   8.424757
   7.65307003   7.24902198   7.87141199   6.6501052    6.13268674
   6.3450148    4.33969268   3.68189866   2.77390069   2.54182577
   1.61780936   0.79522605   0.39971958   0.58947144   1.25738877]"
1,Paul_Desmond_Take_Five_novteh_co_.wav,22050,405,"[-2.52811262 -9.1652323   4.62937601 -0.68989274 -2.30258031 -0.64448327
 -4.25537905  2.65008429 -1.25925552  1.89569875 -1.92624536  5.27431078
  0.34576634  0.31655658 -0.56103691  1.95467974  0.81840378 -1.35183534
 -1.5101856   1.05830023 -0.78172109 -0.40129737  0.1090825   0.10245567
  0.18573363  0.46134688]","[  1.48172755   6.4573418   10.54690649   7.80620426   7.90548077
   7.88581083   8.58843342   8.3616707    7.99850528   7.86955154
   7.98649747   9.51218258   7.50684487   7.11467415   7.18048775
   5.95063385   5.76767532   5.08589513   4.20900529   3.136715
   2.08102257   1.21350111   0.49904331   0.26587969   0.92112059
   1.44800177]","[  2.31148349  13.69062987  35.41088546  26.91566265  25.33208002
  37.71528598  28.53913336  36.90985523  40.85233388  42.56944177
  34.47206234  61.2968562   33.10684537  37.08844154  35.80234108
  38.26391926  27.69168724  22.58508766  16.31390161  14.05664361
   9.74840381   4.20379753   2.01841909   1.37571543   4.00007293
   9.69178988]","[ -6.13884826 -31.02353522 -34.52867213 -30.38020758 -37.9447797
 -29.28068554 -39.60161095 -35.20672924 -35.92600159 -30.11746867
 -39.98197415 -30.62004785 -55.60086929 -33.39191279 -27.67767981
 -28.87891569 -23.77162527 -19.00705953 -20.02569875 -15.60577891
  -9.91158048  -5.27053487  -2.08157445  -0.99486314  -4.07537982
  -7.43784789]","[ -6.63711967e+00   1.37946083e+01  -5.31926875e+00  -1.61268757e+00
   1.65809704e+00  -3.61089578e+00   6.90546334e+00  -3.90933981e+00
   3.15495427e+00  -3.82194411e+00   7.20055614e+00  -4.92854445e+00
  -2.92097547e-02  -8.77593489e-01   2.51571665e+00  -1.13627596e+00
  -2.17023912e+00  -1.58350262e-01   2.56848583e+00  -1.84002132e+00
   3.80423720e-01   5.10379866e-01  -6.62682274e-03   8.32779525e-02
   2.75613252e-01]","[  7.21594961  11.7668456   10.08834568   9.30585946   7.51040519
   8.5412153    9.1525351    8.79628792   8.85730641   8.44734549
   9.24834102   8.99097201   7.30411598   6.44682608   6.68844324
   6.07011003   5.64661692   4.52997695   4.03027291   3.0138113
   1.85891539   1.06518229   0.6314752    0.87078219   1.34518665]"
2,petr-chaykovskiy-lebedinoe-ozero.wav,22050,322,"[ -1.80808407e+00   1.16797113e+01  -1.58014731e+01  -1.97408299e-02
  -1.02838653e+01  -8.23979008e+00  -1.26553440e+01  -6.06413882e+00
  -1.10717425e+01  -4.73518477e+00  -5.97200316e+00  -2.88380879e+00
  -2.42059856e+00  -9.62302732e-01  -1.24749205e+00   1.06384044e+00
  -1.26674234e+00  -8.59127036e-01  -1.91488095e+00  -5.57678617e-01
  -1.19197910e-01  -8.20235617e-03  -2.17987795e-01   8.58948618e-02
   3.02125006e-02  -1.00088051e-01]","[  2.23405949  10.59078968  10.15316531   6.40963343   7.91936169
   7.61789143   8.76876581   9.75064366   9.17001092   8.78859998
   9.39423524   8.46224164   8.45939277   7.91856197   7.10005562
   6.634482     5.6867292    4.94341006   3.87292138   3.04314992
   2.14473075   1.25426847   0.48356702   0.26299197   0.98366676
   1.85008284]","[  2.42248403  38.45699165  23.02321713  24.03774975  17.97087728
  25.58270871  23.07821699  30.65426327  22.08155559  44.2600388
  36.63886644  39.79170077  32.20035755  32.26925283  31.46009046
  35.02490022  27.9416687   19.72253506  14.55159132  11.487628
   9.39124557   6.00524866   1.87067234   1.13253109   3.50424595
   6.74639011]","[-36.04365339 -37.00530332 -51.54185249 -30.38735654 -38.30305804
 -49.69890674 -42.34036707 -52.77311288 -54.9671789  -36.2637854
 -41.52534297 -40.8943951  -56.84427818 -33.27639002 -33.03751599
 -36.48077772 -29.53048452 -24.71035228 -18.37161297 -14.83071973
  -8.30298698  -5.84059404  -2.34921942  -1.03411645  -3.99160904
  -7.3419821 ]","[ 13.48779542 -27.48118447  15.78173229 -10.26412447   2.04407521
  -4.41555392   6.59120518  -5.00760368   6.33655773  -1.23681839
   3.08819436   0.46321024   1.45829583  -0.28518932   2.31133249
  -2.33058279   0.40761531  -1.05575391   1.35720233   0.43848071
   0.11099555  -0.20978544   0.30388266  -0.05568236  -0.13030055]","[ 11.93571618  10.81848733  11.74573646   8.17053604   8.92118957
   9.01939789  10.7313317   10.25244584  10.74167443   9.52896387
   9.89065783   9.73547235   8.83445869   8.10578965   7.42165173
   6.58796193   6.12903242   5.28224004   4.20358461   3.09630888
   2.22681385   1.16827998   0.60090986   0.94986789   1.86982563]"
